Interior Theme`Obtained From`Sells For`cataloged`name`reorderable`
None`Underground (dig spot)`1200`False`amber`False`
None`Underground (dig spot)`1100`False`ammonite`False`
Quirky`Underground (dig spot)`3500`False`ankylo skull`False`
Quirky`Underground (dig spot)`2500`False`ankylo tail`False`
Quirky`Underground (dig spot)`3000`False`ankylo torso`False`
Quirky`Underground (dig spot)`5000`False`apato skull`False`
Quirky`Underground (dig spot)`4000`False`apato tail`False`
Quirky`Underground (dig spot)`4500`False`apato torso`False`
None`Underground (dig spot)`1300`False`archaeopteryx`False`
Quirky`Underground (dig spot)`4000`False`archelon skull`False`
Quirky`Underground (dig spot)`3500`False`archelon torso`False`
None`Underground (dig spot)`1100`False`coprolite`False`
Quirky`Underground (dig spot)`5500`False`dimetrodon skull`False`
Quirky`Underground (dig spot)`4500`False`dimetrodon tail`False`
Quirky`Underground (dig spot)`5000`False`dimetrodon torso`False`
None`Underground (dig spot)`1400`False`dinosaur egg`False`
None`Underground (dig spot)`1000`False`dinosaur track`False`
Quirky`Underground (dig spot)`4500`False`diplo chest`False`
Quirky`Underground (dig spot)`4000`False`diplo hip`False`
Quirky`Underground (dig spot)`5000`False`diplo neck`False`
Quirky`Underground (dig spot)`5000`False`diplo skull`False`
Quirky`Underground (dig spot)`4500`False`diplo tail`False`
None`Underground (dig spot)`1000`False`fern fossil`False`
Quirky`Underground (dig spot)`2500`False`ichthyo skull`False`
Quirky`Underground (dig spot)`2000`False`ichthyo torso`False`
Quirky`Underground (dig spot)`4000`False`iguanodon skull`False`
Quirky`Underground (dig spot)`3000`False`iguanodon tail`False`
Quirky`Underground (dig spot)`3500`False`iguanodon torso`False`
Quirky`Underground (dig spot)`3000`False`mammoth skull`False`
Quirky`Underground (dig spot)`2500`False`mammoth torso`False`
Quirky`Underground (dig spot)`4500`False`megacero skull`False`
Quirky`Underground (dig spot)`3000`False`megacero tail`False`
Quirky`Underground (dig spot)`3500`False`megacero torso`False`
Quirky`Underground (dig spot)`4000`False`pachy skull`False`
Quirky`Underground (dig spot)`3000`False`pachy tail`False`
Quirky`Underground (dig spot)`3500`False`pachy torso`False`
Quirky`Underground (dig spot)`3500`False`parasaur skull`False`
Quirky`Underground (dig spot)`2500`False`parasaur tail`False`
Quirky`Underground (dig spot)`3000`False`parasaur torso`False`
None`Underground (dig spot)`1100`False`peking man`False`
Quirky`Underground (dig spot)`4500`False`plesio neck`False`
Quirky`Underground (dig spot)`4000`False`plesio skull`False`
Quirky`Underground (dig spot)`4500`False`plesio torso`False`
Quirky`Underground (dig spot)`4500`False`ptera left wing`False`
Quirky`Underground (dig spot)`4500`False`ptera right wing`False`
Quirky`Underground (dig spot)`4000`False`ptera skull`False`
Quirky`Underground (dig spot)`3000`False`raptor skull`False`
Quirky`Underground (dig spot)`2500`False`raptor torso`False`
Quirky`Underground (dig spot)`2500`False`sabertooth skull`False`
Quirky`Underground (dig spot)`2000`False`sabertooth torso`False`
None`Underground (dig spot)`1000`False`shark tooth`False`
Quirky`Underground (dig spot)`4000`False`spino skull`False`
Quirky`Underground (dig spot)`2500`False`spino tail`False`
Quirky`Underground (dig spot)`3000`False`spino torso`False`
Quirky`Underground (dig spot)`5000`False`stego skull`False`
Quirky`Underground (dig spot)`4000`False`stego tail`False`
Quirky`Underground (dig spot)`4500`False`stego torso`False`
Quirky`Underground (dig spot)`3500`False`styraco skull`False`
Quirky`Underground (dig spot)`2500`False`styraco tail`False`
Quirky`Underground (dig spot)`3000`False`styraco torso`False`
Quirky`Underground (dig spot)`6000`False`t. rex skull`False`
Quirky`Underground (dig spot)`5000`False`t. rex tail`False`
Quirky`Underground (dig spot)`5500`False`t. rex torso`False`
Quirky`Underground (dig spot)`5500`False`tricera skull`False`
Quirky`Underground (dig spot)`4500`False`tricera tail`False`
Quirky`Underground (dig spot)`5000`False`tricera torso`False`
None`Underground (dig spot)`1300`False`trilobite`False`
