Obtained From`Purchase Price`Sells For`cataloged`name`reorderable`
Timmy & Tommy`160`40`False`academy paper`True`
Timmy & Tommy`160`40`False`airmail paper`True`
Timmy & Tommy`160`40`False`bathtub paper`True`
Timmy & Tommy`160`40`False`bejeweled paper`True`
Timmy & Tommy`160`40`False`birthday card`True`
Timmy & Tommy`160`40`False`bubble paper`True`
Timmy & Tommy`160`40`False`buttercup paper`True`
Timmy & Tommy`160`40`False`butterfly paper`True`
Timmy & Tommy`160`40`False`camouflage paper`True`
Timmy & Tommy`160`40`False`card paper`True`
Timmy & Tommy`160`40`False`chic paper`True`
Timmy & Tommy`160`40`False`cloudy paper`True`
Timmy & Tommy`160`40`False`composer paper`True`
Timmy & Tommy`160`40`False`cool paper`True`
Timmy & Tommy`160`40`False`cow paper`True`
Timmy & Tommy`160`40`False`crater paper`True`
Timmy & Tommy`800`200`False`elegant paper`True`
Timmy & Tommy`160`40`False`fireworks paper`True`
Timmy & Tommy`160`40`False`floral paper`True`
Timmy & Tommy`160`40`False`flowery paper`True`
Timmy & Tommy`160`40`False`forest paper`True`
Timmy & Tommy`160`40`False`formal paper`True`
Timmy & Tommy`160`40`False`four-leaf paper`True`
Only used by Redd`-`40`False`gallery paper`False`
Timmy & Tommy`160`40`False`geometric paper`True`
Timmy & Tommy`160`40`False`goldfish paper`True`
Only used by Jack`-`40`False`halloween paper`False`
Timmy & Tommy`160`40`False`hamburger paper`True`
Timmy & Tommy`160`40`False`hieroglyph paper`True`
Timmy & Tommy`160`40`False`imperial paper`True`
Timmy & Tommy`160`40`False`industrial paper`True`
Timmy & Tommy`160`40`False`lacy paper`True`
Timmy & Tommy`160`40`False`lemon-lime paper`True`
Timmy & Tommy`160`40`False`leopard paper`True`
Timmy & Tommy`160`40`False`lined paper`True`
Timmy & Tommy`160`40`False`lotus paper`True`
Timmy & Tommy`160`40`False`lovely paper`True`
Timmy & Tommy`160`40`False`maple-leaf paper`True`
Timmy & Tommy (after the Super T&T arrives)`500`125`False`melody paper`True`
Timmy & Tommy`160`40`False`mosaic paper`True`
Only used by Redd`-`40`False`museum paper`False`
Timmy & Tommy`160`40`False`mushroom paper`True`
Timmy & Tommy`160`40`False`new year's cards`True`
Timmy & Tommy`160`40`False`night-sky paper`True`
Timmy & Tommy`160`40`False`nook paper`True`
Timmy & Tommy`160`40`False`notebook paper`True`
Timmy & Tommy`160`40`False`ocean paper`True`
Timmy & Tommy`160`40`False`petal paper`True`
Timmy & Tommy`160`40`False`piano paper`True`
Timmy & Tommy`160`40`False`plaid paper`True`
Timmy & Tommy`160`40`False`polka-dot paper`True`
Only used by Post Office`-`40`False`post-office paper`False`
Timmy & Tommy`160`40`False`rainbow paper`True`
Timmy & Tommy`160`40`False`ribbon paper`True`
Timmy & Tommy`160`40`False`smb3 paper`True`
Only used by Snowman`-`40`False`snowman paper`False`
Timmy & Tommy`160`40`False`snowy paper`True`
Timmy & Tommy`160`40`False`southwest paper`True`
Timmy & Tommy`160`40`False`sparkly paper`True`
Timmy & Tommy`160`40`False`star paper`True`
Timmy & Tommy`160`40`False`tartan paper`True`
Timmy & Tommy`160`40`False`tile paper`True`
Timmy & Tommy`160`40`False`town-view paper`True`
Timmy & Tommy`160`40`False`vine paper`True`
Timmy & Tommy`160`40`False`weathered paper`True`
