Obtained From`Purchase Price`Sells For`cataloged`name`reorderable`
Hybrid - From two Red Cosmos.`-`240`False`black cosmos`False`
Hybrid - From two Red Lilys.`-`80`False`black lily`False`
Hybrid - From two Red Roses.`-`450`False`black rose`False`
Hybrid - From two Red Tulips.`-`240`False`black tulip`False`
Hybrid - From Two White Pansy.`-`240`False`blue pansy`False`
Hybrid - From two Red Roses that are offsprings of an Orange and Purple cross.`-`2500`False`blue rose`False`
Hybrid - From Purple and White Violets.`-`80`False`blue violet`False`
Hybrid - Have a black Rose wilt, and water with a Golden watering can.`-`2500`False`gold rose`False`
Hybrid - From Red and Yellow Cosmos.`-`80`False`orange cosmos`False`
Hybrid - From Yellow and Red Lily.`-`80`False`orange lily`False`
Hybrid - From Red and Yellow Pansy.`-`80`False`orange pansy`False`
Hybrid - From Red and Yellow Roses.`-`80`False`orange rose`False`
Hybrid - From Red and Yellow tulips.`-`240`False`orange tulip`False`
Mom on Mother's Day.`-`500`False`pink carnation`False`
Hybrid - From Red and White Cosmos.`-`80`False`pink cosmos`False`
Hybrid - From White and Red Lily.`-`80`False`pink lily`False`
Hybrid - From Red and White Roses.`-`80`False`pink rose`False`
Hybrid - From Red and White tulips.`-`80`False`pink tulip`False`
Hybrid - Two Red Pansys`-`80`False`purple pansy`False`
Hybrid - From two White Roses.`-`240`False`purple rose`False`
Hybrid - From Black and Pink tulips.`-`80`False`purple tulip`False`
Gardening Store`-`40`False`purple violet`False`
Dad on Father's Day.`-`500`False`red carnation`False`
Gardening Store`160`40`False`red cosmos`True`
Gardening Store`160`40`False`red lily`True`
Gardening Store`160`40`False`red pansy`True`
Gardening Store`160`40`False`red rose`True`
Gardening Store`160`40`False`red tulip`True`
Hybrid - From Red and Pink Carnation.`-`2000`False`white carnation`False`
Gardening Store`160`40`False`white cosmos`True`
Gardening Store`160`40`False`white lily`True`
Gardening Store`160`40`False`white pansy`True`
Gardening Store`160`40`False`white rose`True`
Gardening Store`160`40`False`white tulip`True`
Gardening Store`160`40`False`white violet`True`
Gardening Store`160`40`False`yellow cosmos`True`
Gardening Store`160`40`False`yellow lily`True`
Gardening Store`160`40`False`yellow pansy`True`
Gardening Store`160`40`False`yellow rose`True`
Gardening Store`160`40`False`yellow tulip`True`
Gardening Store`160`40`False`yellow violet`True`
